"","Subject","Treatment","Sex","Gonad","Scorer","SniffAnoDur","SniffHeadDur","DigDur","ActiveHDur","InactiveDur","GroomDur","AvoidDur","SubDur","DefenseDur","OpenAggDur","RitAggDur","ActiveVDur","ApproachDur","StereoDur","DomDur","SniffBodyDur","InactiveTogetherDur","FollowDur","StretchEv","SniffAnoEv","SniffHeadEv","DigEv","ActiveHEv","InactiveEv","GroomEv","AvoidEv","AttackDelEv","SubEv","AttackRecEv","DefenseEv","OpenAggEv","RitAggEv","ActiveVEv","ApproachEv","StereoEv","DomEv","SniffBodyEv","InactiveTogetherEv","FollowEv","TotalActivityOccur","TotalActivityDuration","TotalSocialOccur","TotalSocialDuration","AgonisticDeliveredOccur","AgonisticDeliveredDuration","AgonisticReceivedOccur","AgonisticReceivedDuration","AgonisticTotalOccur","AgonisticTotalDuration","DominanceScoreOccur","DominanceScoreDuration","SocialInvestigationOccur","SocialInvestigationDuration","NonSocialOccur","NonSocialDuration","NonSocialLocomotorOccur","NonSocialLocomotorDuration","InactiveNonSocialOccur","InactiveNonSocialDuration"
"269"," E2-06","C","M","GDX"," Colin",73595,172351,0,339660,16529,63658,0,307541,0,0,0,374671,0,0,88235,360231,2166,1363,0,46,65,0,215,3,19,0,0,38,0,0,0,0,124,0,0,13,154,1,1,656,1717647,318,1005482,14,89598,38,307541,52,397139,-24,-217943,265,606177,361,794518,339,714331,22,80187
"270"," E2-08","C","M","SHAM"," Colin",80799,260337,7626,267200,3216,168012,0,74212,0,0,81194,209183,0,0,153870,416031,75953,1415,0,40,87,1,169,2,37,0,46,7,2,0,0,15,80,0,0,26,160,2,1,634,1551867,386,1143811,73,155285,9,74212,82,229497,64,81073,287,757167,289,655237,250,484009,39,171228
"271"," E21-02F","C","F","SHAM"," Colin",145331,243622,0,171391,0,164421,2771,22129,0,0,1355,293334,0,0,283951,321138,138346,12211,0,66,80,0,165,0,31,2,0,6,0,0,0,1,72,0,0,62,147,19,11,612,1497233,394,1170854,73,296162,8,24900,81,321062,65,271262,293,710091,268,629146,237,464725,31,164421
"272"," E21-03M","C","M","GDX"," Colin",140182,211679,0,125484,0,136989,0,9858,0,0,0,163939,0,0,272190,192885,546302,492,0,51,48,0,116,0,34,0,0,1,0,0,0,0,43,0,0,34,84,37,1,378,1116709,256,1373588,35,272682,1,9858,36,282540,34,262824,183,544746,193,426412,159,289423,34,136989
"273"," E21-05F","C","F","GDX"," Colin",151314,193166,0,181854,152399,223757,0,237239,0,0,0,209273,0,0,68439,338472,40609,3478,0,59,81,0,155,39,33,0,0,29,0,0,0,0,53,0,0,14,146,10,4,541,1383235,343,1032717,18,71917,29,237239,47,309156,-11,-165322,286,682952,280,767283,208,391127,72,376156
"274"," E21-07M","C","M","SHAM"," Colin",81358,182179,0,227630,2319,332854,0,8759,0,13903,61534,340534,0,0,88872,207901,249139,3018,0,37,72,0,202,1,52,0,30,2,0,0,6,13,120,0,0,30,107,38,2,621,1215688,337,896663,62,91890,2,8759,64,100649,60,83131,216,471438,375,903337,322,568164,53,335173
"275"," E21-08F","C","F","REP"," Colin",93467,246210,2933,162274,74600,173012,0,138705,0,0,3600,287816,0,0,136455,352138,125422,3368,0,51,78,2,145,16,56,0,0,17,4,0,0,1,85,0,0,35,132,29,6,556,1426966,353,1099365,41,139823,21,138705,62,278528,20,1118,261,691815,304,700635,232,453023,72,247612
"276"," E21-09M","C","M","REP"," Colin",102170,292149,1560,223446,4004,158550,0,37202,0,6714,72186,314658,0,0,35568,340195,205438,6160,0,44,75,1,179,3,32,0,24,9,0,0,4,19,94,0,0,9,133,24,4,595,1432008,345,1097782,37,41728,9,37202,46,78930,28,4526,252,734514,309,702218,274,539664,35,162554
"277"," E22-02F","T","F","REP"," Colin",199683,169969,0,92805,672,139084,0,271133,575,0,0,75638,0,0,70571,552833,224380,2657,0,99,47,0,101,1,39,0,0,35,0,1,0,0,19,0,0,12,187,50,6,507,1435864,437,1491801,18,73228,36,271708,54,344936,-18,-198480,333,922485,160,308199,120,168443,40,139756
"278"," E22-03M","T","M","REP"," Colin",244894,229080,0,135719,11224,296498,1890,168744,0,2954,23286,121622,0,0,7012,419396,128630,9051,0,103,61,0,136,7,77,1,1,15,1,0,2,6,48,0,0,4,160,24,9,547,1363648,387,1234937,14,16063,17,170634,31,186697,-3,-154571,324,893370,268,565063,184,257341,84,307722
"279","E22-06M","T","M","GDX"," Colin",316782,115525,0,229784,21269,234187,0,28783,0,0,0,340553,0,0,8699,368887,125926,9605,2,117,52,0,227,9,80,0,0,12,0,0,0,0,109,0,0,6,169,25,10,704,1418618,393,974207,16,18304,12,28783,28,47087,4,-10479,340,801194,425,825793,336,570337,89,255456
