Subject,Treatment,Sex,Gonad,Estrus,Scorer,SniffAnoDur,SniffHeadDur,DigDur,ActiveHDur,InactiveDur,GroomDur,AvoidDur,SubDur,DefenseDur,OpenAggDur,RitAggDur,ActiveVDur,ApproachDur,StereoDur,DomDur,SniffBodyDur,InactiveTogetherDur,FollowDur,StretchEv,SniffAnoEv,SniffHeadEv,DigEv,ActiveHEv,InactiveEv,GroomEv,AvoidEv,AttackDelEv,SubEv,AttackRecEv,DefenseEv,OpenAggEv,RitAggEv,ActiveVEv,ApproachEv,StereoEv,DomEv,SniffBodyEv,InactiveTogetherEv,FollowEv
 E36-08F,T,F,PRE,NA, Colin,238020,48351,17381,189265,5562,37797,0,25742,208,0,653,80560,0,500,4043,235675,2736,13507,0,136,37,11,177,7,20,0,0,11,2,1,0,1,60,0,1,2,146,3,20
 E37-04M,T,M,PRE,NA, Colin,237426,19148,18086,251301,3290,45705,0,13082,0,0,0,98298,0,0,3415,207455,1584,1210,0,115,13,4,213,4,27,0,0,7,0,0,0,0,88,0,0,2,118,1,2
 E37-05M,T,M,PRE,NA, Colin,183838,22148,6681,309919,58090,42932,0,46204,232,0,0,45268,0,0,650,181030,0,3008,1,97,11,5,167,23,23,0,0,12,0,1,0,0,31,0,0,1,99,0,1
 E37-07M,T,M,PRE,NA, Colin,219993,7151,26323,346315,11343,21108,0,14257,0,0,0,141186,0,0,635,111689,0,0,1,116,8,13,219,9,9,0,0,10,1,0,0,0,85,0,0,1,91,0,0
 E37-08M,T,M,PRE,NA, Colin,156227,43012,5109,166445,17644,156448,5255,78772,2385,0,0,125822,382,0,4456,91209,42582,4252,0,58,16,4,114,9,27,2,0,20,1,2,0,0,52,1,0,1,54,9,5
 E38-05M,T,M,PRE,NA, Colin,42122,65230,109447,170568,9987,70362,0,70551,0,0,0,278194,0,0,4119,72614,6806,0,0,30,25,33,161,6,11,0,0,18,0,0,0,0,110,0,0,1,56,2,0
 E38-07F,T,F,PRE,NA, Colin,269779,39570,6534,111008,344,25508,0,38506,0,0,756,115133,0,0,1464,279544,0,11854,0,154,42,2,153,1,13,0,0,21,6,0,0,1,68,0,0,1,177,0,26
 E39-03F,T,F,PRE,NA, Colin,267533,119750,0,83890,0,15000,560,66648,1525,0,1006,9360,0,0,26758,297992,0,9978,0,166,52,0,102,0,5,1,0,28,0,2,0,1,10,0,0,12,182,0,18
 E39-05M,T,M,PRE,NA, Colin,161446,50003,0,205710,0,29916,1342,114050,0,1223,27302,53544,0,0,10235,240661,0,4568,0,98,38,0,176,0,12,1,7,46,0,0,2,6,60,0,0,7,168,0,7
 E39-06M,T,M,PRE,NA, Colin,87189,97081,394,118653,0,19635,0,157826,0,1089,6219,130883,0,0,27968,236948,15419,696,0,44,45,1,127,0,4,0,8,37,0,0,1,2,84,0,0,5,109,3,2
 E39-07F,T,F,PRE,NA, Colin,319373,30605,0,96054,0,47542,0,25676,0,0,0,77077,0,0,3317,277917,0,22439,0,149,30,0,112,0,21,0,0,8,2,0,0,0,51,0,0,4,163,0,35
 E39-08M,T,M,PRE,NA, Colin,135365,43148,1517,185038,7077,29114,0,30014,0,0,0,88504,0,0,172520,187065,15619,5019,1,82,32,1,138,4,9,0,0,13,0,0,0,0,52,0,0,16,114,5,5
 E40-03F,T,F,PRE,NA, Colin,300142,20403,0,155976,0,37817,0,72397,347,0,0,48207,0,0,1982,256666,2498,3565,0,210,14,0,185,0,21,0,0,33,0,1,0,0,47,0,0,3,199,1,6
 E40-06M,T,M,PRE,NA, Colin,124697,84178,0,180187,0,74365,2249,59157,0,0,4636,99087,0,0,32544,202540,36035,325,0,58,39,0,129,0,12,2,0,14,0,0,0,5,58,0,0,5,91,7,1
