Subject,Treatment,Sex,Gonad,Scorer,SniffAnoDur,SniffHeadDur,DigDur,ActiveHDur,InactiveDur,GroomDur,AvoidDur,SubDur,DefenseDur,OpenAggDur,RitAggDur,ActiveVDur,ApproachDur,StereoDur,DomDur,SniffBodyDur,InactiveTogetherDur,FollowDur,StretchEv,SniffAnoEv,SniffHeadEv,DigEv,ActiveHEv,InactiveEv,GroomEv,AvoidEv,AttackDelEv,SubEv,AttackRecEv,DefenseEv,OpenAggEv,RitAggEv,ActiveVEv,ApproachEv,StereoEv,DomEv,SniffBodyEv,InactiveTogetherEv,FollowEv
 E17-08F,T,F,PRE,Colin,115744,234144,0,201603,0,506634,0,97028,0,0,0,198426,0,0,144738,284730,9680,7273,1,57,66,0,150,0,61,0,4,12,0,0,0,0,106,0,0,18,97,3,8
 E18-03F,T,F,PRE,Colin,82814,141269,11396,293372,4223,454795,0,165120,0,0,1640,162950,0,2944,0,130433,343099,5945,7,48,62,7,158,3,74,0,0,11,0,0,0,1,81,0,1,0,76,8,6
 E18-05F,T,F,PRE,Colin,126553,305649,0,110681,21332,361989,1598,152616,0,0,0,65712,0,0,7242,313031,328575,5022,0,49,53,0,77,5,48,3,0,10,0,0,0,0,33,0,0,1,80,7,4
 E18-08M,T,M,PRE,Colin,70845,173591,0,247739,172682,387120,16183,201110,56618,29836,121955,29608,0,0,0,169578,121830,1305,7,28,43,0,87,42,24,14,3,9,87,13,6,28,12,0,0,0,59,5,2
 E18-09M,T,M,PRE,Colin,100091,162987,65612,401416,3554,397299,0,105188,511,0,0,185066,0,0,14254,332497,24417,7108,0,43,45,19,144,2,29,0,0,14,0,1,0,0,82,0,0,6,109,7,11
 E20-01M,T,M,PRE,Colin,111713,121643,61251,406947,26255,564691,344,785,440,18234,76449,237041,0,0,43056,116857,0,14294,3,44,86,14,254,12,68,1,68,1,11,1,9,38,130,0,0,24,91,0,15
 E20-02F,T,F,PRE,Colin,329815,74506,0,174556,54932,341433,3769,29926,0,0,0,73527,0,0,105928,269597,324881,17130,0,83,32,0,136,7,43,3,0,6,0,0,0,0,45,0,0,12,75,26,17
 E20-03F,T,F,PRE,Colin,299827,61364,0,318946,0,425713,0,72293,0,0,1094,179980,0,0,6734,349061,77999,6989,0,123,43,0,220,0,73,0,0,11,1,0,0,1,100,0,0,5,145,15,9
 E20-04F,T,F,PRE,Colin,178921,49399,0,246723,17833,261645,0,142487,0,0,881,147183,0,0,60499,240739,440181,13314,0,94,48,0,158,3,34,0,0,14,1,0,0,1,98,0,0,9,122,19,13
 E20-07F,T,F,PRE,Colin,166863,128585,0,217063,0,185374,0,1585,0,0,0,316803,0,0,88812,133348,0,7380,0,85,38,0,180,0,34,0,0,3,0,0,0,0,110,0,0,13,99,0,9
